CO(GT),C6H6(GT),NOx(GT),NO2(GT),T,RH,AH,Cluster
2.1359375,7.8,130.73809523809524,85.14285714285714,23.0,43.1,1.1993,0
2.1656250000000004,7.8,127.71428571428572,84.42857142857143,22.1,43.9,1.1521,0
2.1953125,7.8,124.6904761904762,83.71428571428571,21.0,48.1,1.178,0
2.225,8.5,121.66666666666669,83.0,20.6,49.2,1.1754,0
2.2546875,5.7,118.64285714285714,82.28571428571428,21.2,47.6,1.1799,0
2.284375,4.5,115.61904761904762,81.57142857142857,21.0,50.1,1.2338,0
2.3140625000000004,5.6,112.5952380952381,80.85714285714286,20.1,53.1,1.2342,0
2.34375,4.6,109.57142857142856,80.14285714285714,19.0,54.0,1.1745,0
2.3734375,1.2,106.54761904761904,79.42857142857143,19.2,51.1,1.124,0
2.403125,3.4,103.52380952380952,78.71428571428571,19.2,53.1,1.1662,0
2.4328125000000003,17.0,100.5,78.0,20.6,49.0,1.1748,0
2.4625000000000004,10.0,97.47619047619048,77.28571428571428,21.8,41.9,1.077,0
2.4921875,6.0,94.45238095238096,76.57142857142857,22.8,37.6,1.0315,0
2.521875,5.7,91.42857142857144,75.85714285714286,24.8,31.3,0.9646,0
2.5515625,6.9,88.40476190476191,75.14285714285714,26.0,29.4,0.976,0
2.5812500000000003,9.5,85.38095238095238,74.42857142857143,27.0,27.8,0.9731,0
2.6109375000000004,11.1,82.35714285714286,73.71428571428572,27.0,29.3,1.0277,0
2.640625,8.1,79.33333333333334,73.0,27.0,29.6,1.0419,0
2.6703125,10.2,76.30952380952381,72.28571428571428,25.8,32.6,1.072,0
2.7,13.3,73.28571428571429,71.57142857142857,26.2,32.6,1.0892,0
3.6,16.6,70.26190476190476,70.85714285714286,28.3,27.5,1.0418,0
3.3,16.9,67.23809523809524,70.14285714285714,26.5,29.7,1.0123,0
3.6,17.5,64.21428571428572,69.42857142857143,25.7,31.8,1.0317,0
2.9,13.1,61.19047619047619,68.71428571428572,24.4,35.2,1.0632,0
1.9,9.2,58.16666666666667,68.0,23.5,36.9,1.0518,0
2.0,10.0,55.14285714285714,67.28571428571428,22.4,41.0,1.1006,0
2.9,13.1,52.11904761904762,66.57142857142857,21.7,44.7,1.1451,0
2.7,12.9,49.0952380952381,65.85714285714286,21.1,48.1,1.1864,0
1.5,7.8,46.07142857142857,65.14285714285714,20.7,50.0,1.203,0
1.6,9.2,43.04761904761905,64.42857142857143,19.8,53.1,1.2093,0
1.3,6.9,40.02380952380953,63.71428571428572,19.8,53.6,1.2214,0
0.7,4.5,37.0,63.0,19.6,54.8,1.236,0
0.7,4.9,57.0,71.0,19.3,57.3,1.265,0
1.2,7.9,131.0,91.0,19.7,58.4,1.3254,0
1.5,7.4,171.0,95.0,19.8,59.4,1.3554,0
1.5,8.0,187.0,96.0,20.9,54.8,1.3387,0
1.6,7.6,133.0,81.0,22.4,47.9,1.2817,0
1.1,5.3,87.0,68.0,24.1,41.3,1.2202,0
1.1,5.3,61.0,57.0,25.9,36.9,1.2133,0
1.4,8.0,86.0,68.0,30.7,26.0,1.1287,0
1.4,8.4,83.0,72.0,30.3,25.2,1.0652,0
1.0,6.0,61.0,62.0,30.1,25.4,1.0641,0
1.3,7.3,80.0,75.0,27.6,35.1,1.2764,0
1.9,10.2,110.0,92.0,26.6,47.6,1.6315,0
1.7,9.0,108.0,89.0,30.4,31.3,1.3331,0
2.3,14.0,134.0,105.0,27.8,35.0,1.282,0
2.4,16.1,133.0,111.0,26.6,37.9,1.2994,0
1.8,8.2,118.0,102.0,23.4,44.4,1.2646,0
0.6,3.8,17.0,30.0,23.0,51.1,1.4175,0
0.8,5.6,26.0,43.0,22.1,53.5,1.4087,0
1.7,8.0,55.0,67.0,21.6,53.6,1.3674,0
1.1,5.6,39.0,58.0,21.9,52.7,1.365,0
0.6,3.8,15.0,24.0,21.3,54.9,1.3707,0
1.1,6.6,47.0,58.0,17.5,79.1,1.5709,0
1.1,7.0,48.0,60.0,17.6,78.6,1.5722,0
1.0,5.2,49.0,62.0,17.1,81.8,1.5816,0
0.5,2.4,21.0,34.0,16.6,80.2,1.5002,0
0.7,3.1,33.0,46.0,16.8,77.4,1.4739,0
1.0,5.2,63.0,62.0,18.3,66.5,1.381,0
1.2,5.9,73.0,70.0,20.4,55.8,1.3196,0
0.7,2.8,51.0,54.0,21.6,45.3,1.1533,0
0.9,3.4,61.0,61.0,23.1,39.4,1.0983,0
0.8,3.0,52.0,53.0,25.4,31.6,1.0058,0
0.8,3.4,49.0,49.0,26.6,29.0,0.9928,0
0.5,2.3,40.0,48.0,25.9,28.8,0.9475,0
0.5,2.7,36.0,45.0,27.0,28.0,0.981,0
0.7,3.6,51.0,60.0,23.6,38.1,1.0917,0
0.9,4.2,56.0,59.0,25.9,32.0,1.0529,0
1.0,4.9,71.0,67.0,26.3,31.5,1.0643,0
1.2,5.9,79.0,72.0,23.9,36.8,1.0774,0
1.3,6.6,117.0,88.0,23.7,36.8,1.0609,0
1.6,7.6,127.0,94.0,22.5,37.8,1.0157,0
1.4,7.0,118.0,89.0,21.8,39.2,1.0115,0
1.7,7.5,130.0,96.0,20.9,42.6,1.04,0
1.7,8.4,131.0,98.0,20.0,45.6,1.0555,0
1.4,7.0,102.0,95.0,19.3,47.9,1.059,0
0.8,3.9,48.0,64.0,18.7,49.0,1.0462,0
0.4,2.6,22.0,38.0,17.8,54.1,1.0938,0
0.3,2.0,22.0,36.0,18.6,52.7,1.1206,0
0.4,2.1,22.0,34.0,17.2,57.9,1.127,0
0.5,2.4,44.0,40.0,18.2,54.1,1.1155,0
1.5,9.6,167.0,76.0,17.3,57.6,1.1289,0
2.6,15.4,220.0,90.0,19.9,49.4,1.1354,0
4.3,25.0,285.0,118.0,21.7,44.2,1.1321,1
3.1,15.1,272.0,118.0,23.5,40.0,1.1386,1
2.9,17.4,238.0,122.0,28.4,29.7,1.1345,1
2.5,14.1,207.0,120.0,31.6,24.1,1.0994,0
1.9,11.8,152.0,132.0,31.3,24.1,1.0816,0
2.5,14.9,185.0,115.0,34.4,20.4,1.0857,0
2.5,16.0,184.0,127.0,33.7,21.3,1.0988,0
2.8,16.5,205.0,126.0,35.9,18.9,1.0999,0
2.3,15.2,172.0,113.0,34.3,19.4,1.0279,0
3.3,18.9,227.0,124.0,33.5,19.9,1.0112,1
2.8,19.0,187.0,108.0,30.5,24.2,1.0386,0
4.8,28.9,290.0,142.0,30.3,26.2,1.1161,1
2.5,13.4,155.0,125.0,27.0,36.7,1.2898,0
2.0,10.9,108.0,116.0,24.6,41.9,1.2752,0
1.8,8.9,94.0,101.0,23.3,44.5,1.2566,0
1.7,8.5,103.0,101.0,22.4,46.9,1.2544,0
1.3,6.7,78.0,92.0,21.7,50.8,1.3019,0
0.7,4.2,38.0,55.0,21.0,51.9,1.2794,0
0.5,2.5,26.0,42.0,20.5,54.3,1.2926,0
0.4,1.7,22.5,36.0,20.9,52.5,1.2852,0
0.3,1.4,19.0,30.0,21.0,53.1,1.3031,0
0.5,2.8,35.0,40.0,19.6,57.1,1.2851,0
1.4,8.8,126.0,69.0,18.2,62.3,1.2903,0
3.3,19.4,309.0,100.0,19.5,57.7,1.2966,1
5.8,36.1,376.0,125.0,21.6,51.7,1.313,1
5.0,27.1,441.0,174.0,23.9,44.4,1.3029,1
3.5,19.0,309.0,171.0,28.1,35.2,1.312,1
2.9,16.9,220.0,149.0,31.4,28.6,1.298,1
2.5,15.7,168.0,124.0,33.7,25.5,1.3095,0
2.3,14.1,149.0,119.0,35.9,20.8,1.2103,0
2.4,16.5,160.0,130.0,37.5,18.1,1.1529,0
2.6,14.8,177.0,143.0,37.7,17.7,1.1383,0
2.2,13.0,176.5,163.0,37.8,17.4,1.1219,0
3.5,21.4,176.0,183.0,36.6,20.6,1.2445,1
3.9,23.6,202.0,161.0,32.5,26.0,1.2502,1
4.5,25.0,255.0,170.0,30.8,27.2,1.1832,1
3.8,21.6,210.0,143.0,28.8,30.2,1.1761,1
2.8,15.7,157.0,123.0,26.7,35.4,1.2233,0
1.7,10.9,96.0,89.0,25.3,40.7,1.291,0
1.2,8.1,59.0,67.0,24.9,41.2,1.2809,0
1.6,10.2,81.0,81.0,23.7,45.1,1.3033,0
1.0,7.5,40.0,54.0,22.5,49.0,1.3151,0
0.9,5.8,42.0,57.0,22.3,50.6,1.3486,0
0.5,3.8,36.5,54.0,22.0,50.5,1.3199,0
0.5,3.3,31.0,51.0,20.8,54.4,1.3229,0
0.5,4.0,54.0,58.0,20.3,56.0,1.3204,0
1.0,8.1,88.0,69.0,20.5,54.8,1.3073,0
3.5,22.3,261.0,107.0,21.7,50.6,1.2981,1
6.4,36.9,357.0,151.0,23.4,46.1,1.3091,1
2.9,17.5,265.0,146.0,25.1,43.0,1.3488,1
3.4,19.3,247.0,165.0,30.1,32.8,1.3795,1
2.8,17.6,189.0,159.0,34.7,25.9,1.4069,1
2.8,18.6,168.0,174.0,37.2,23.2,1.4478,1
2.8,18.0,183.0,167.0,39.5,18.3,1.2917,1
2.3,14.0,157.0,137.0,40.6,15.3,1.1485,0
1.8,10.9,113.0,116.0,40.3,16.1,1.1896,0
2.0,11.1,140.0,125.0,40.3,14.2,1.0494,0
3.5,21.6,230.0,194.0,39.6,16.7,1.1867,1
4.9,27.6,277.0,222.0,37.3,23.4,1.4672,1
4.6,25.6,295.0,206.0,33.7,27.7,1.4213,1
3.4,18.6,212.0,162.0,30.7,32.2,1.3983,1
2.7,15.2,151.0,132.0,28.4,35.7,1.3549,0
1.9,11.7,110.0,107.0,26.5,38.6,1.3154,0
1.5,8.7,83.0,84.0,25.4,40.1,1.2822,0
1.0,7.6,48.0,61.0,24.1,43.3,1.2839,0
0.7,5.2,27.0,42.0,23.9,45.6,1.3328,0
1.0,5.9,48.0,66.0,22.0,52.8,1.3752,0
0.6,4.0,40.5,58.0,20.7,56.1,1.3565,0
0.75,3.3,33.0,50.0,20.1,57.3,1.3352,0
0.9,5.4,75.0,76.0,19.5,59.4,1.3328,0
1.2,8.7,101.0,78.0,20.0,56.6,1.3095,0
2.9,19.9,214.0,104.0,21.7,53.9,1.3848,1
4.8,30.4,290.0,139.0,23.7,49.0,1.4152,1
4.3,24.6,311.0,166.0,25.9,44.3,1.4544,1
3.1,16.9,234.0,151.0,30.1,34.3,1.4414,1
2.4,13.6,157.0,134.0,33.5,27.2,1.3859,0
2.8,15.3,165.0,148.0,35.4,26.1,1.4806,0
2.5,14.1,137.0,126.0,37.9,23.2,1.502,0
2.6,17.0,149.0,144.0,39.7,18.7,1.3306,0
2.3,13.8,140.0,133.0,40.4,17.2,1.2774,0
2.4,13.6,139.0,139.0,40.0,18.8,1.363,0
3.5,21.2,221.0,178.0,38.9,18.8,1.29,1
4.8,25.9,318.0,206.0,35.8,22.1,1.2792,1
5.1,25.4,363.0,211.0,33.1,25.9,1.2923,1
4.7,23.6,341.0,180.0,30.9,28.2,1.2388,1
2.4,12.0,163.0,116.0,27.5,32.6,1.176,0
2.5,14.2,157.0,118.0,26.3,34.3,1.1605,0
2.7,14.2,202.0,115.0,25.5,34.1,1.0968,0
1.5,10.4,102.0,96.0,24.7,39.3,1.2065,0
1.1,7.5,70.0,86.0,24.2,39.5,1.1764,0
0.6,3.5,41.0,65.0,24.8,37.8,1.1639,0
0.5,2.5,38.5,59.0,22.7,43.8,1.1952,0
0.4,2.6,36.0,53.0,22.0,44.3,1.1553,0
0.6,4.0,68.0,74.0,19.3,51.4,1.1364,0
1.0,7.0,92.0,69.0,19.8,50.4,1.1525,0
4.6,24.8,332.0,131.0,20.5,48.2,1.1474,1
4.8,28.9,333.0,134.0,22.8,42.7,1.1667,1
4.0,21.5,298.0,148.0,25.6,35.8,1.1548,1
3.0,12.9,222.0,135.66666666666666,30.0,27.5,1.1509,0
2.0,12.2,146.0,123.33333333333331,34.4,21.0,1.1248,0
2.0,13.1,120.0,111.0,35.9,19.6,1.1422,0
2.0,13.3,108.0,110.0,37.2,18.2,1.1389,0
1.9,12.5,109.0,110.0,37.3,16.6,1.0435,0
1.9,13.0,124.0,116.0,37.4,14.9,0.9413,0
1.9,12.3,127.0,120.0,36.4,15.1,0.9005,0
2.6,15.2,185.0,142.0,35.4,14.7,0.8323,0
3.2,19.1,230.0,146.0,34.2,14.2,0.7502,1
3.4,19.7,265.0,153.0,31.1,18.7,0.8302,1
3.4,18.6,261.0,158.0,29.1,22.0,0.8702,1
2.9,16.1,219.0,140.0,27.2,22.5,0.7962,1
2.7,15.0,180.0,127.0,25.3,24.6,0.7796,0
1.3,7.3,108.0,97.0,24.9,27.2,0.8429,0
1.3,8.9,98.0,91.0,23.5,32.2,0.922,0
0.9,6.6,57.0,68.0,23.5,32.7,0.9349,0
0.6,4.3,36.0,52.0,24.1,32.0,0.9467,0
0.5,3.2,40.5,55.0,22.6,34.8,0.9441,0
0.5,4.1,45.0,58.0,20.8,40.2,0.9725,0
0.9,6.0,87.0,78.0,18.8,46.6,1.0027,0
0.7,5.6,62.0,61.0,19.8,46.0,1.0524,0
0.6,4.8,65.0,64.0,21.3,42.3,1.0625,0
1.3,8.9,125.0,81.0,21.3,41.8,1.0449,0
1.9,13.1,157.0,92.0,24.0,36.6,1.0772,0
2.1,14.1,171.0,101.0,27.2,30.7,1.0884,0
1.8,11.2,119.0,96.0,32.3,23.6,1.1271,0
1.8,10.0,110.0,101.0,31.9,25.8,1.2023,0
1.6,9.6,95.0,91.0,35.1,21.8,1.2093,0
1.2,7.2,58.0,68.0,36.0,20.5,1.1995,0
1.2,8.6,69.0,76.0,37.0,20.1,1.2423,0
1.4,9.0,76.0,84.0,36.4,21.0,1.2515,0
1.3,7.9,63.0,76.0,35.2,22.6,1.267,0
1.1,6.2,51.0,61.0,32.5,27.6,1.3229,0
1.1,6.3,46.0,52.0,29.1,35.1,1.3919,0
1.1,6.3,52.0,59.0,26.9,39.7,1.3898,0
1.8,11.2,84.0,89.0,26.1,42.2,1.4039,0
2.3,12.8,130.0,113.0,25.5,43.8,1.4095,0
2.6,13.2,147.0,112.0,24.9,45.6,1.4135,0
2.0,9.2,126.0,89.0,25.2,45.2,1.4262,0
1.0,5.8,47.0,53.0,25.4,45.5,1.457,0
0.6,3.4,24.0,36.0,26.2,43.6,1.4599,0
0.6,4.1,24.5,37.5,24.3,48.2,1.4476,0
0.5,3.1,25.0,39.0,24.4,48.3,1.4499,0
0.4,2.2,21.0,33.0,23.3,51.0,1.4346,0
0.4,1.5,25.0,37.0,21.6,48.1,1.2259,0
0.4,1.3,25.0,36.0,21.4,47.8,1.2005,0
0.4,1.2,30.0,42.0,20.5,46.8,1.1152,0
0.5,1.7,42.0,52.0,20.8,40.7,0.9882,0
0.6,2.5,52.0,60.0,22.3,35.3,0.9371,0
0.7,2.5,62.0,74.0,21.7,38.3,0.9842,0
0.7,2.7,67.0,65.0,24.4,29.6,0.8921,0
0.6,1.9,47.0,52.0,23.4,34.9,0.991,0
0.5,1.8,35.0,40.0,23.5,35.2,1.0019,0
0.6,2.4,45.0,49.0,22.4,39.0,1.04,0
0.8,2.6,53.0,56.0,22.0,41.7,1.0865,0
0.8,3.0,57.0,59.0,21.7,42.7,1.0949,0
1.0,2.9,71.0,68.0,20.7,43.4,1.047,0
1.0,3.5,67.0,72.0,20.3,42.6,1.0045,0
1.0,3.6,75.0,78.0,20.3,44.1,1.0392,0
0.9,3.6,65.0,71.0,20.1,45.2,1.0538,0
0.7,2.3,45.0,54.0,19.8,45.7,1.0424,0
0.8,2.6,46.0,57.0,19.6,45.3,1.0244,0
0.7,2.0,33.0,45.0,19.4,45.9,1.0242,0
0.5,1.2,19.0,30.0,19.7,44.8,1.0172,0
0.3,0.7,9.0,16.0,19.5,46.3,1.0363,0
0.3,0.5,10.5,17.0,19.0,49.0,1.063,0
0.3,0.5,12.0,18.0,19.1,50.7,1.109,0
0.3,0.8,21.0,28.0,19.1,52.7,1.1545,0
0.7,3.5,66.0,62.0,20.3,49.3,1.1596,0
1.5,7.0,137.0,92.0,21.1,46.2,1.1389,0
1.8,8.7,151.0,96.0,21.5,44.5,1.129,0
1.4,6.3,115.0,87.0,22.4,43.6,1.1637,0
1.5,7.0,118.0,84.0,24.8,39.1,1.2039,0
1.2,5.5,95.0,73.0,23.9,42.1,1.2335,0
1.2,5.3,86.0,72.0,25.5,38.3,1.2328,0
1.3,5.5,85.0,68.0,25.4,39.2,1.2534,0
1.0,3.8,66.0,62.0,25.6,37.0,1.2006,0
1.4,5.4,74.0,70.0,24.5,38.4,1.1669,0
1.6,6.7,108.0,83.0,23.9,39.9,1.1639,0
2.7,12.2,150.0,92.0,24.2,39.2,1.1665,0
2.3,10.2,157.0,103.0,23.5,41.2,1.1759,0
1.5,6.7,93.0,82.0,22.3,44.9,1.1973,0
1.4,5.7,76.0,74.0,21.7,46.5,1.1917,0
1.0,4.1,57.0,67.0,22.0,44.9,1.1699,0
1.1,4.7,64.0,74.0,22.2,44.1,1.1654,0
1.2,5.2,59.0,72.0,21.8,45.6,1.1763,0
1.2,5.1,68.0,79.0,21.6,46.0,1.1742,0
0.7,2.8,31.0,43.0,21.6,45.8,1.1715,0
0.5,1.4,21.0,33.0,20.7,48.3,1.168,0
0.4,1.0,22.5,35.5,21.0,47.1,1.1546,0
0.4,2.0,24.0,38.0,20.8,48.5,1.18,0
0.5,3.0,38.0,51.0,20.8,49.4,1.1994,0
1.0,7.5,92.0,69.0,19.9,51.8,1.1911,0
4.4,24.7,311.0,116.0,20.9,49.3,1.2049,1
4.0,24.8,260.0,119.0,23.7,39.9,1.1508,1
2.4,10.9,181.0,96.0,25.3,35.8,1.1421,0
2.1,11.9,177.0,109.0,28.8,29.1,1.1349,0
2.7,16.0,180.0,115.0,30.3,26.9,1.1399,0
2.8,15.7,174.0,118.0,32.8,23.3,1.138,0
2.3,13.1,140.0,118.0,33.9,21.4,1.1135,0
2.0,12.2,122.0,112.0,35.3,19.6,1.1036,0
2.6,15.8,189.0,140.0,34.0,20.8,1.0898,0
2.7,16.6,169.0,137.0,35.3,18.8,1.0572,0
3.1,18.4,172.0,143.0,32.6,24.1,1.1688,1
3.1,16.7,154.0,148.0,30.8,28.7,1.2507,1
3.6,20.8,192.0,158.0,28.7,31.2,1.2099,1
2.9,15.3,160.0,127.0,26.8,35.1,1.2201,0
2.2,11.5,110.0,109.0,25.3,39.4,1.2524,0
2.0,10.1,97.0,101.0,23.9,40.9,1.1966,0
2.1,10.4,124.0,114.0,23.0,44.4,1.2354,0
1.9,9.4,108.0,104.0,22.2,53.9,1.4237,0
1.4,6.9,61.0,81.0,20.9,59.8,1.4659,0
0.8,4.0,34.0,51.0,21.3,58.1,1.457,0
0.6,3.0,29.0,45.5,20.8,58.4,1.4189,0
0.6,2.6,24.0,40.0,20.3,58.9,1.3878,0
0.5,2.4,27.0,34.0,21.3,54.5,1.3682,0
1.0,6.8,70.0,61.0,20.6,57.4,1.3753,0
2.7,18.9,176.0,95.0,21.3,56.9,1.4226,0
5.0,30.2,310.0,142.0,22.9,52.4,1.4442,1
3.3,14.9,221.0,128.0,24.1,46.5,1.3802,1
2.4,12.2,168.0,115.0,27.1,38.8,1.3705,0
1.7,8.3,109.0,84.0,28.4,34.4,1.314,0
1.7,9.0,102.0,85.0,30.1,30.9,1.2958,0
2.4,13.7,129.0,110.0,32.7,25.8,1.2547,0
2.2,14.1,117.0,107.0,32.4,25.7,1.2271,0
2.2,12.0,112.0,107.0,33.6,24.4,1.2472,0
2.3,12.2,122.0,113.0,33.0,26.0,1.2877,0
2.6,13.1,114.0,107.0,33.2,23.7,1.1855,0
2.3,12.6,111.0,106.0,31.3,25.4,1.1415,0
3.3,18.3,158.0,125.0,28.3,31.7,1.1968,1
3.5,17.2,202.0,139.0,26.5,35.0,1.1981,1
2.5,12.9,166.0,117.0,24.4,40.0,1.2079,0
2.5,13.7,143.0,107.0,23.3,43.4,1.2251,0
2.4,13.4,122.0,98.0,22.5,45.3,1.2226,0
2.5,13.5,113.0,97.0,21.8,47.8,1.2325,0
2.1,9.9,109.0,95.0,20.9,51.0,1.2446,0
1.0,4.4,53.0,68.0,20.8,51.7,1.2572,0
0.8,4.3,42.5,59.5,19.3,57.1,1.2661,0
0.65,3.3,32.0,51.0,18.8,58.6,1.2581,0
0.5,3.4,35.0,44.0,20.2,53.8,1.2569,0
1.3,9.3,123.0,77.0,18.3,60.8,1.2635,0
3.6,23.4,254.0,100.0,20.2,54.5,1.2777,1
4.8,27.7,300.0,125.0,21.9,49.9,1.2957,1
3.7,22.1,281.0,154.0,25.2,43.0,1.3548,1
1.9,10.0,169.0,125.0,28.0,36.6,1.3603,0
1.7,8.9,152.0,117.0,27.1,38.3,1.3548,0
1.9,9.8,127.0,105.0,27.4,37.0,1.3319,0
1.8,9.4,118.0,103.0,29.4,32.9,1.3244,0
1.7,9.8,120.0,106.0,31.3,28.7,1.2885,0
1.8,9.5,125.0,107.0,31.5,28.7,1.3058,0
1.7,9.5,117.0,102.0,30.9,30.3,1.3306,0
2.8,15.4,166.0,124.0,31.4,30.3,1.3689,0
3.6,19.4,180.0,133.0,30.7,31.4,1.3686,1
3.3,16.5,172.0,125.0,29.0,33.4,1.3169,0
2.9,14.3,160.0,124.0,27.3,37.5,1.342,0
1.7,8.2,103.0,97.0,25.8,40.9,1.3389,0
1.7,8.7,87.0,94.0,25.2,43.0,1.358,0
2.8,15.2,147.0,120.0,24.6,45.8,1.394,0
1.8,10.6,120.0,105.0,24.0,47.3,1.3914,0
1.0,6.0,63.0,81.0,23.5,48.3,1.3777,0
0.5,3.1,30.0,43.0,24.0,45.8,1.3467,0
0.4,2.5,24.5,37.5,22.2,50.7,1.3405,0
0.3,1.8,19.0,32.0,22.8,48.1,1.3184,0
0.4,2.6,27.0,36.0,21.9,50.1,1.3002,0
0.8,6.5,65.0,59.0,20.4,54.1,1.28,0
2.2,14.5,169.0,92.0,20.8,52.6,1.2758,0
4.4,28.8,244.0,121.0,22.8,47.9,1.3156,1
3.7,21.3,274.0,151.0,25.2,42.9,1.3552,1
2.5,14.9,202.0,142.0,29.3,34.8,1.397,0
2.5,15.6,186.0,141.0,33.3,27.8,1.4013,0
2.3,14.3,153.0,129.0,34.9,24.9,1.363,0
2.0,12.6,112.0,106.0,36.1,22.7,1.3324,0
2.0,13.4,117.0,125.0,37.6,21.1,1.3478,0
2.1,12.6,109.0,126.0,37.3,21.9,1.3761,0
2.4,14.8,133.0,147.0,37.2,21.6,1.3514,0
3.1,18.6,185.0,180.0,35.6,23.4,1.341,1
2.9,16.7,167.0,164.0,33.1,24.3,1.2087,1
3.5,20.8,218.0,180.0,30.5,29.5,1.2635,1
2.9,16.0,171.0,153.0,28.7,35.8,1.3834,1
1.5,7.6,78.0,105.0,26.6,42.2,1.4452,0
1.7,10.2,84.0,98.0,25.2,46.6,1.4733,0
2.2,13.8,110.0,107.0,24.7,47.7,1.4649,0
1.6,10.4,87.0,87.0,24.4,47.4,1.4301,0
1.0,6.5,58.0,80.0,23.3,49.9,1.4135,0
0.6,4.3,39.0,62.0,23.8,47.3,1.3783,0
0.6,3.4,38.5,58.0,22.9,50.2,1.3808,0
0.6,3.9,38.0,54.0,21.2,55.0,1.3689,0
0.5,3.0,41.0,56.0,21.7,52.6,1.35,0
0.5,3.2,47.0,62.0,22.8,48.9,1.3424,0
0.9,5.6,72.0,72.0,23.5,47.6,1.3611,0
1.4,9.1,100.0,86.0,24.6,44.9,1.3661,0
1.6,9.7,104.0,99.0,27.0,39.9,1.402,0
1.6,8.6,109.0,98.0,29.3,35.9,1.4411,0
1.7,9.6,103.0,102.0,31.2,32.4,1.4517,0
1.7,9.8,75.0,84.0,34.4,26.6,1.423,0
1.5,10.3,72.0,83.0,36.1,22.1,1.3004,0
1.2,10.074358974358976,56.0,68.0,35.65897435897436,22.94871794871795,1.2975564102564103,0
1.2,9.84871794871795,51.0,63.0,35.21794871794872,23.7974358974359,1.2947128205128204,0
1.1,9.623076923076924,52.0,65.0,34.77692307692308,24.646153846153847,1.2918692307692308,0
1.0,9.397435897435898,46.0,63.0,34.33589743589744,25.494871794871795,1.289025641025641,0
1.1,9.171794871794871,44.0,56.0,33.8948717948718,26.343589743589742,1.2861820512820512,0
1.6,8.946153846153846,72.0,77.0,33.45384615384616,27.192307692307693,1.2833384615384615,0
1.7,8.720512820512822,88.0,91.0,33.01282051282051,28.04102564102564,1.280494871794872,0
1.4,8.494871794871795,56.0,70.0,32.57179487179487,28.889743589743592,1.277651282051282,0
1.7,8.26923076923077,82.0,95.0,32.13076923076923,29.73846153846154,1.2748076923076923,0
2.4,8.043589743589743,125.0,113.0,31.68974358974359,30.58717948717949,1.2719641025641026,0
2.3,7.817948717948719,144.0,109.0,31.24871794871795,31.43589743589744,1.2691205128205127,0
1.2,7.592307692307693,54.0,65.0,30.807692307692307,32.284615384615385,1.266276923076923,0
1.0,7.366666666666667,48.0,60.0,30.366666666666667,33.13333333333333,1.2634333333333334,0
1.4,7.141025641025641,44.5,61.0,29.925641025641028,33.98205128205129,1.2605897435897435,0
1.2,6.915384615384616,41.0,62.0,29.484615384615385,34.830769230769235,1.2577461538461538,0
1.0,6.68974358974359,40.0,60.0,29.04358974358974,35.67948717948718,1.2549025641025642,0
0.9,6.464102564102564,48.0,65.0,28.602564102564106,36.52820512820513,1.2520589743589745,0
0.8,6.2384615384615385,44.0,55.0,28.161538461538463,37.37692307692308,1.2492153846153846,0
1.0,6.012820512820513,59.0,66.0,27.72051282051282,38.22564102564103,1.246371794871795,0
1.2,5.787179487179487,59.0,67.0,27.279487179487177,39.07435897435897,1.243528205128205,0
1.2,5.561538461538461,53.0,64.0,26.838461538461537,39.92307692307692,1.2406846153846154,0
1.0,5.335897435897436,42.0,59.0,26.397435897435894,40.77179487179488,1.2378410256410255,0
1.0,5.11025641025641,43.0,59.0,25.95641025641025,41.62051282051282,1.2349974358974358,0
0.6,4.884615384615385,23.0,36.0,25.515384615384612,42.46923076923077,1.2321538461538462,0
0.7,4.658974358974359,22.0,35.0,25.07435897435897,43.31794871794872,1.2293102564102565,0
0.8,4.433333333333334,37.0,54.0,24.633333333333333,44.16666666666667,1.2264666666666666,0
1.1,4.207692307692308,53.0,71.0,24.192307692307693,45.01538461538462,1.223623076923077,0
1.4,3.982051282051282,68.0,86.0,23.75128205128205,45.864102564102566,1.2207794871794873,0
2.8,3.756410256410256,125.0,114.0,23.310256410256407,46.712820512820514,1.2179358974358974,0
2.5,3.5307692307692307,96.0,105.0,22.869230769230768,47.56153846153846,1.2150923076923077,0
1.6,3.305128205128205,75.0,87.0,22.42820512820513,48.41025641025641,1.212248717948718,0
1.4,3.079487179487179,74.0,85.0,21.987179487179485,49.25897435897436,1.209405128205128,0
2.3,2.853846153846153,92.0,91.0,21.54615384615384,50.107692307692304,1.2065615384615385,0
4.2,2.628205128205128,136.0,108.0,21.105128205128203,50.95641025641026,1.2037179487179488,0
3.0,2.402564102564102,119.0,99.0,20.664102564102564,51.805128205128206,1.200874358974359,0
2.2,2.1769230769230763,76.0,83.0,20.22307692307692,52.65384615384615,1.1980307692307692,0
0.6,1.9512820512820517,21.0,36.0,19.78205128205128,53.50256410256411,1.1951871794871796,0
0.3,1.7256410256410248,18.0,30.0,19.34102564102564,54.351282051282055,1.1923435897435897,0
0.3,1.5,15.0,24.0,18.9,55.2,1.1895,0
0.5,3.5,52.0,43.0,18.2,57.6,1.193,0
1.3,8.3,85.0,64.0,18.6,56.0,1.1865,0
2.5,17.3,177.0,91.0,20.8,48.0,1.1702,0
3.7,23.3,232.0,109.0,23.3,38.6,1.0919,1
2.5,13.8,201.0,110.0,25.1,32.4,1.017,0
1.8,10.2,134.0,111.0,27.8,25.8,0.9473,0
1.5,7.9,104.0,106.0,29.6,21.0,0.8548,0
